name,position,season_points,appearances,starts,sub_appearances,starter_ppg_est,sub_ppg_est,overall_ppg,prior_start_rate,prior_appearance_rate
Gabriel dos Santos Magalhães,DEF,209.0,31.0,30.0,1.0,6.933333,1.0,5.5,0.789474,0.815789
Marc Guéhi,DEF,179.0,35.0,35.0,0.0,5.114286,0.0,4.710526,0.921053,0.921053
Marcos Senesi Barón,DEF,175.0,36.0,36.0,0.0,4.861111,0.0,4.605263,0.947368,0.947368
Virgil van Dijk,DEF,175.0,37.0,37.0,0.0,4.72973,0.0,4.605263,0.973684,0.973684
James Tarkowski,DEF,170.0,36.0,36.0,0.0,4.722222,0.0,4.473684,0.947368,0.947368
Adrien Truffert,DEF,165.0,37.0,37.0,0.0,4.459459,0.0,4.342105,0.973684,0.973684
Nico O'Reilly,DEF,160.0,34.0,29.0,5.0,5.344828,1.0,4.210526,0.763158,0.894737
Matheus Nunes,DEF,154.0,34.0,32.0,2.0,4.75,1.0,4.052632,0.842105,0.894737
Maxence Lacroix,DEF,154.0,35.0,35.0,0.0,4.4,0.0,4.052632,0.921053,0.921053
Nordi Mukiele,DEF,151.0,31.0,31.0,0.0,4.870968,0.0,3.973684,0.815789,0.815789
Jurriën Timber,DEF,149.0,30.0,28.0,2.0,5.25,1.0,3.921053,0.736842,0.789474
Jan Paul van Hecke,DEF,148.0,35.0,35.0,0.0,4.228571,0.0,3.894737,0.921053,0.921053
William Saliba,DEF,137.0,31.0,30.0,1.0,4.533333,1.0,3.605263,0.789474,0.815789
Daniel Muñoz Mejía,DEF,136.0,28.0,28.0,0.0,4.857143,0.0,3.578947,0.736842,0.736842
Trevoh Chalobah,DEF,136.0,33.0,31.0,2.0,4.322581,1.0,3.578947,0.815789,0.868421
Tyrick Mitchell,DEF,135.0,37.0,36.0,1.0,3.722222,1.0,3.552632,0.947368,0.973684
Michael Keane,DEF,131.0,32.0,28.0,4.0,4.535714,1.0,3.447368,0.736842,0.842105
Ibrahima Konaté,DEF,129.0,35.0,35.0,0.0,3.685714,0.0,3.394737,0.921053,0.921053
Nathan Collins,DEF,129.0,34.0,31.0,3.0,4.064516,1.0,3.394737,0.815789,0.894737
Neco Williams,DEF,128.0,36.0,35.0,1.0,3.628571,1.0,3.368421,0.921053,0.947368
Chris Richards,DEF,128.0,33.0,31.0,2.0,4.064516,1.0,3.368421,0.815789,0.868421
Malick Thiaw,DEF,126.0,34.0,32.0,2.0,3.875,1.0,3.315789,0.842105,0.894737
Omar Alderete,DEF,125.0,33.0,32.0,1.0,3.875,1.0,3.289474,0.842105,0.868421
Joachim Andersen,DEF,123.0,33.0,33.0,0.0,3.727273,0.0,3.236842,0.868421,0.868421
Konstantinos Mavropanos,DEF,122.0,30.0,26.0,4.0,4.538462,1.0,3.210526,0.684211,0.789474
Nikola Milenković,DEF,119.0,37.0,36.0,1.0,3.277778,1.0,3.131579,0.947368,0.973684
Ferdi Kadıoğlu,DEF,118.0,36.0,33.0,3.0,3.484848,1.0,3.105263,0.868421,0.947368
Matty Cash,DEF,117.0,34.0,34.0,0.0,3.441176,0.0,3.078947,0.894737,0.894737
Pedro Porro Sauceda,DEF,117.0,33.0,31.0,2.0,3.709677,1.0,3.078947,0.815789,0.868421
Daniel Ballard,DEF,116.0,29.0,24.0,5.0,4.625,1.0,3.052632,0.631579,0.763158
Micky van de Ven,DEF,116.0,34.0,34.0,0.0,3.411765,0.0,3.052632,0.894737,0.894737
Jake O'Brien,DEF,116.0,36.0,34.0,2.0,3.352941,1.0,3.052632,0.894737,0.947368
Keane Lewis-Potter,DEF,115.0,35.0,21.0,14.0,4.809524,1.0,3.026316,0.552632,0.921053
Reece James,DEF,115.0,28.0,20.0,8.0,5.35,1.0,3.026316,0.526316,0.736842
Rúben dos Santos Gato Alves Dias,DEF,113.0,25.0,23.0,2.0,4.826087,1.0,2.973684,0.605263,0.657895
Michael Kayode,DEF,113.0,36.0,36.0,0.0,3.138889,0.0,2.973684,0.947368,0.947368
Sepp van den Berg,DEF,113.0,31.0,29.0,2.0,3.827586,1.0,2.973684,0.763158,0.815789
Luke Shaw,DEF,113.0,37.0,37.0,0.0,3.054054,0.0,2.973684,0.973684,0.973684
Diogo Dalot Teixeira,DEF,111.0,34.0,29.0,5.0,3.655172,1.0,2.921053,0.763158,0.894737
James Hill,DEF,110.0,28.0,21.0,7.0,4.904762,1.0,2.894737,0.552632,0.736842
Trai Hume,DEF,110.0,37.0,33.0,4.0,3.212121,1.0,2.894737,0.868421,0.973684
Riccardo Calafiori,DEF,109.0,25.0,21.0,4.0,5.0,1.0,2.868421,0.552632,0.657895
Joe Rodon,DEF,109.0,34.0,32.0,2.0,3.34375,1.0,2.868421,0.842105,0.894737
Pascal Struijk,DEF,108.0,33.0,32.0,1.0,3.34375,1.0,2.842105,0.842105,0.868421
El Hadji Malick Diouf,DEF,104.0,31.0,29.0,2.0,3.517241,1.0,2.736842,0.763158,0.815789
Marc Cucurella Saseta,DEF,104.0,33.0,30.0,3.0,3.366667,1.0,2.736842,0.789474,0.868421
Calvin Bassey,DEF,103.0,29.0,27.0,2.0,3.740741,1.0,2.710526,0.710526,0.763158
Ezri Konsa Ngoyo,DEF,100.0,34.0,34.0,0.0,2.941176,0.0,2.631579,0.894737,0.894737
Lewis Dunk,DEF,100.0,32.0,30.0,2.0,3.266667,1.0,2.631579,0.789474,0.842105
Jaka Bijol,DEF,99.0,24.0,20.0,4.0,4.75,1.0,2.605263,0.526316,0.631579
Lucas Digne,DEF,97.0,31.0,21.0,10.0,4.142857,1.0,2.552632,0.552632,0.815789
Malo Gusto,DEF,96.0,33.0,25.0,8.0,3.52,1.0,2.526316,0.657895,0.868421
Jayden Bogle,DEF,96.0,33.0,31.0,2.0,3.032258,1.0,2.526316,0.815789,0.868421
Patrick Dorgu,DEF,95.0,25.0,14.0,11.0,6.0,1.0,2.5,0.368421,0.657895
Vitalii Mykolenko,DEF,95.0,32.0,32.0,0.0,2.96875,0.0,2.5,0.842105,0.842105
James Justin,DEF,94.0,28.0,20.0,8.0,4.3,1.0,2.473684,0.526316,0.736842
Dan Burn,DEF,93.0,28.0,24.0,4.0,3.708333,1.0,2.447368,0.631579,0.736842
Santiago Ignacio Bueno,DEF,92.0,28.0,27.0,1.0,3.37037,1.0,2.421053,0.710526,0.736842
