name,position,club,minutes,appearances,starts,goals,assists,clean_sheets,rating,form,xg,xa,yellow_cards,red_cards,bonus,bps,ict_index,chance_playing,fixture_difficulty,home,selected_by_percent,team_form_points,team_attack_form,team_defence_form,opponent_strength,rest_days,price,future_points,GW,kickoff_time
Aaron Hickey,DEF,Brentford,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,48.47376425683024,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-08-31T14:00:00Z
Aaron Ramsdale,GK,Southampton,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,72.74352040723511,1.5,1.35,1.35,0.5,7.0,4.4,2,3,2024-08-31T14:00:00Z
Aaron Wan-Bissaka,DEF,West Ham,28.0,2.0,0.0,0.0,0.0,0.0,6.044444444444444,0.5,0.0,0.0,0.0,0.0,0.0,4.0,0.2,0.6499999999999999,3.0,1.0,75.8328662423658,1.5,1.35,1.35,0.5,7.0,4.5,1,3,2024-08-31T16:30:00Z
Abdoulaye Doucouré,MID,Everton,118.0,2.0,2.0,0.0,0.0,0.0,6.0423728813559325,1.5,0.21000000000000002,0.01,0.0,0.0,0.0,5.0,1.05,1.0,3.0,1.0,66.19503257724546,1.5,1.35,1.35,0.5,7.0,5.4,1,3,2024-08-31T14:00:00Z
Abdul Fatawu,MID,Leicester,180.0,2.0,2.0,0.0,1.0,0.0,6.266666666666667,5.0,0.06,0.6,0.0,0.0,3.0,48.0,5.9,1.0,3.0,1.0,70.04772293227882,1.5,1.35,1.35,0.5,7.0,5.5,2,3,2024-08-31T14:00:00Z
Adam Armstrong,FWD,Southampton,160.0,2.0,2.0,0.0,0.0,0.0,6.0375,1.5,0.73,0.09,1.0,0.0,0.0,6.0,3.5999999999999996,1.0,3.0,0.0,75.20302150535353,1.5,1.35,1.35,0.5,7.0,5.5,1,3,2024-08-31T14:00:00Z
Adam Lallana,MID,Southampton,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,48.065419204461534,1.5,1.35,1.35,0.5,7.0,5.0,4,3,2024-08-31T14:00:00Z
Adam Wharton,MID,Crystal Palace,163.0,2.0,2.0,0.0,0.0,0.0,6.208588957055214,2.0,0.11,0.19,0.0,0.0,0.0,34.0,4.0,1.0,3.0,0.0,66.83895974305257,1.5,1.35,1.35,0.5,7.0,5.0,2,3,2024-09-01T12:30:00Z
Adama Traoré,MID,Fulham,145.0,2.0,2.0,0.0,1.0,1.0,6.213793103448276,4.0,0.31,0.52,0.0,0.0,0.0,31.0,6.2,1.0,3.0,0.0,73.35236445275977,1.5,1.35,1.35,0.5,7.0,5.0,9,3,2024-08-31T14:00:00Z
Alejo Véliz,FWD,Spurs,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,42.65810515695816,1.5,1.35,1.35,0.5,7.0,5.0,0,3,2024-09-01T12:30:00Z
Alex Iwobi,MID,Fulham,180.0,2.0,2.0,1.0,0.0,0.0,6.194444444444445,5.0,0.25,0.2,0.0,0.0,1.0,35.0,6.3,1.0,3.0,0.0,73.86963538490947,1.5,1.35,1.35,0.5,7.0,5.5,2,3,2024-08-31T14:00:00Z
Alex Mighten,MID,Nott'm Forest,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,52.12680306402636,1.5,1.35,1.35,0.5,7.0,4.5,0,3,2024-08-31T14:00:00Z
Alex Murphy,DEF,Newcastle,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,71.56150391154522,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-09-01T12:30:00Z
Alex Paulsen,GK,Bournemouth,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,52.29112028789166,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-08-31T14:00:00Z
Alex Scott,MID,Bournemouth,88.0,2.0,1.0,0.0,0.0,0.0,6.155555555555556,1.5,0.02,0.02,0.0,0.0,0.0,14.0,2.05,1.0,3.0,0.0,53.647654290217794,1.5,1.35,1.35,0.5,7.0,5.0,1,3,2024-08-31T14:00:00Z
Alexander Isak,FWD,Newcastle,180.0,2.0,2.0,0.0,1.0,1.0,6.166666666666667,3.5,0.26,0.11,0.0,0.0,0.0,30.0,5.45,1.0,3.0,1.0,96.54145595650908,1.5,1.35,1.35,0.5,7.0,8.5,9,3,2024-09-01T12:30:00Z
Alexis Mac Allister,MID,Liverpool,180.0,2.0,2.0,0.0,0.0,2.0,6.111111111111111,3.0,0.1,0.16999999999999998,0.0,0.0,0.0,20.0,3.25,1.0,3.0,0.0,77.25756925593069,1.5,1.35,1.35,0.5,7.0,6.4,3,3,2024-09-01T15:00:00Z
Alfie Whiteman,GK,Spurs,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,75.38404155585664,1.5,1.35,1.35,0.5,7.0,4.0,0,3,2024-09-01T12:30:00Z
Ali Al-Hamadi,FWD,Ipswich,23.0,2.0,0.0,0.0,0.0,0.0,6.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.2,1.0,3.0,1.0,66.43326294008155,1.5,1.35,1.35,0.5,7.0,5.0,0,3,2024-08-31T14:00:00Z
